,Symbol,Name,Industry,IndustryCode
3110,ASTC,Astrotech Corp,우주항공 및 국방,521010
3111,MLND,Millendo Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3112,KTRA,Kintara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3113,BYFC,Broadway Financial Corp,은행,551010
3114,CPTA,Capitala Finance Corp,다양한 금융서비스,555010
3115,CSSEP,Chicken Soup for The Soul Entertainment Inc PRF,미디어 및 출판,533020
3116,NEOS,Neos Therapeutics Inc,제약,562010
3117,GFNCP,General Finance Corp PRF,전문 및 상업 서비스,522030
3118,RIBT,RiceBran Technologies,식품 및 담배,541020
3119,GURE,Gulf Resources Inc,화학,511010
